SSTID CF Level size Creation Deletion key_start key_end
336 0 2 67264891 1681270796 1681270871 10945641 11543832
341 0 2 67265276 1681270796 1681270873 11543897 12138013
346 0 2 65674009 1681270796 1681270798 12138023 12839929
350 0 0 36732139 1681270797 1681270810 4942 29995657
353 0 0 36726387 1681270797 1681270810 5234 29997150
355 0 0 36732184 1681270797 1681270811 8571 29991896
352 0 2 67265130 1681270797 1681270936 12138023 12725920
356 0 2 67265207 1681270797 1681270872 12725924 13319729
357 0 2 67265387 1681270798 1681270933 13319895 13906730
358 0 2 64722805 1681270798 1681270816 13906884 14656887
359 0 2 67266307 1681270798 1681270870 17396701 17992688
360 0 2 67265667 1681270799 1681270875 17992743 18577530
361 0 2 67265567 1681270799 1681270873 18577703 19174334
362 0 2 67266305 1681270799 1681270888 19174412 19769167
363 0 2 46985158 1681270800 1681270835 19769349 20185543
377 0 0 36726578 1681270805 1681270817 512 29996339
364 0 1 69630472 1681270800 1681270827 190 1455041
365 0 1 134520791 1681270800 1681270813 1455198 2968048
366 0 1 69791020 1681270801 1681270813 2968121 3644054
367 0 1 70702528 1681270802 1681270827 3644120 5101451
368 0 1 76600651 1681270802 1681270828 5102046 6387648
369 0 1 59079300 1681270802 1681270828 6387778 7302900
370 0 1 134520033 1681270803 1681270811 7303012 8628145
371 0 1 57149717 1681270803 1681270811 8628158 9173327
372 0 1 61354832 1681270804 1681270828 9173654 11543757
373 0 1 60274818 1681270804 1681270828 11544082 13906154
374 0 1 134519950 1681270804 1681270816 13906850 15706994
375 0 1 134521941 1681270805 1681270814 15706999 17169953
378 0 1 51067770 1681270806 1681270828 17169982 18577472
379 0 1 134524765 1681270806 1681270828 18577584 21218090
380 0 1 134522925 1681270807 1681270828 21218098 22696620
381 0 1 134523429 1681270808 1681270828 22696683 24176635
382 0 1 134522133 1681270808 1681270828 24176637 25655298
383 0 1 134521709 1681270809 1681270828 25655349 27361624
384 0 1 134521588 1681270810 1681270828 27361682 29087410
385 0 1 70824806 1681270810 1681270828 29087419 29999842
